Date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
2016/1/4,-1,-21,-11,1021,1.79,0,0
2016/1/5,-1,-21,-12,1020,4.92,0,0
2016/1/6,-1,-21,-11,1019,6.71,0,0
2016/1/7,-1,-21,-14,1019,9.84,0,0
2016/1/8,-1,-20,-12,1018,12.97,0,0
2016/1/11,-1,-19,-10,1017,16.1,0,0
2016/1/12,-1,-19,-9,1017,19.23,0,0
2016/1/13,-1,-19,-9,1017,21.02,0,0
2016/1/14,-1,-19,-9,1017,24.15,0,0
2016/1/15,-1,-20,-8,1017,27.28,0,0
2016/1/19,-1,-19,-7,1017,31.3,0,0
2016/1/20,-1,-18,-5,1017,34.43,0,0
2016/1/21,-1,-19,-5,1015,37.56,0,0
2016/1/22,-1,-18,-3,1015,40.69,0,0
2016/1/25,-1,-18,-2,1014,43.82,0,0
2016/1/26,-1,-18,-1,1014,0.89,0,0
2016/1/27,-1,-19,-2,1015,1.79,0,0
2016/1/28,-1,-18,-3,1015,2.68,0,0
2016/1/29,-1,-18,-5,1016,1.79,0,0
2016/2/1,-1,-17,-4,1017,1.79,0,0
2016/2/2,-1,-17,-5,1017,0.89,0,0
2016/2/3,-1,-17,-5,1018,1.79,0,0
2016/2/4,-1,-17,-5,1018,2.68,0,0
2016/2/5,-1,-17,-5,1020,0.89,0,0
2016/2/8,129,-16,-4,1020,1.79,0,0
2016/2/9,148,-15,-4,1020,2.68,0,0
2016/2/10,159,-11,-5,1021,3.57,0,0
2016/2/11,181,-7,-5,1022,5.36,1,0
2016/2/12,138,-7,-5,1022,6.25,2,0
2016/2/16,109,-7,-6,1022,7.14,3,0
2016/2/17,105,-7,-6,1023,8.93,4,0
2016/2/18,124,-7,-5,1024,10.72,0,0
2016/2/19,120,-8,-6,1024,12.51,0,0
2016/2/22,132,-7,-5,1025,14.3,0,0
2016/2/23,140,-7,-5,1026,17.43,1,0
2016/2/24,152,-8,-5,1026,20.56,0,0
2016/2/25,148,-8,-5,1026,23.69,0,0
2016/2/26,164,-8,-5,1025,27.71,0,0
2016/2/29,158,-9,-5,1025,31.73,0,0
2016/3/1,154,-9,-5,1025,35.75,0,0
2016/3/2,159,-9,-5,1026,37.54,0,0
